N° de factura,ID Cliente
546365,12520
551292,14298
C572473,18188
580173,18282
554035,16187
559360,14657
577361,13012
543382,14030
C566185,18167
553935,15856
556579,15069
544410,
552549,15674
563468,16168
543267,
565218,12739
565289,14911
554371,17659
560779,
548326,15424
543800,17282
576539,13058
560732,14056
569641,12841
C546975,
547931,12594
548359,14828
547062,16728
561480,
552233,17068
541615,16395
558620,15584
580975,12989
551470,16782
561396,13458
C550534,14326
C568689,17841
C536757,15838
537955,16782
580356,18109
563011,16283
554816,17550
575188,16759
574685,17581
546653,
554524,14738
547358,15998
540181,13199
568954,13576
C571319,17164
580294,17364
578296,16653
563425,15140
C539499,15312
568685,16394
565437,17050
579534,13784
549979,17511
562039,12593
575889,16433
C553502,17677
556253,17652
563201,13838
569910,17139
544911,16838
561857,13004
550815,
563840,14712
570488,14096
556780,14524
574838,12484
536861,12427
581467,13077
C566165,14911
559883,14397
570875,12667
540859,17965
562210,13486
546673,
563836,15938
538533,14796
556266,13900
C579532,12494
560282,14758
536942,
536609,17850
572277,16768
578306,17410
571044,14421
561664,15189
545466,18102
546142,
576410,
577491,14595
578140,14646
570638,17888
549847,15358
570503,17965
578809,13048
553735,14735
567854,14038
568301,16383
566602,
543199,13102
568706,14911
559708,13549
566926,17402
C552936,13113
546002,
578010,15971
C568532,14356
537301,15860
578817,16764
541851,17841
559152,14214
571674,
C572531,13269
549456,
556885,18073
563853,12560
C561613,14194
C569992,16133
567168,14878
C569485,12705
545011,13666
540701,15640
575332,13209
573325,15370
537618,15061
539740,
556684,12901
557676,15804
549910,16697
561490,
567897,12364
537780,17324
543826,
555093,12720
547923,14344
C556457,15856
542549,15696
573928,16839
C545689,16033
C540030,16029
556910,12748
580026,17381
558447,15311
C565323,14606
549428,15815
536639,15111
544423,12553
536977,17954
C564490,13266
572121,17092
570245,14415
544673,13421
577263,
561086,
558741,
548662,
539951,
551323,
543653,14796
549559,12447
549238,14667
564479,12682
552968,16184
537655,15081
551851,17511
570088,16764
567933,
542137,
542102,12744
547059,14693
547566,12811
544042,14527
547820,13743
542580,
574098,16337
577829,
561501,
562843,
569659,14099
567213,14684
C550536,16325
548714,17337
550723,17454
571028,16770
570843,17293
546164,15939
567145,12921
573019,15145
576651,14626
557218,17426
563438,13743
569367,13994
556462,14450
562604,17611
578666,17727
566079,17593
553738,17469
C549535,14110
552228,
579135,18096
543463,15311
542783,
C546256,15738
541999,
579734,
577307,
571633,
568323,15078
578307,17290
550838,14577
568549,13950
569932,18221
C548713,17337
546563,15047
C557022,16942
C564209,14189
C543637,15738
574476,17203
566269,17864
559636,13058
542590,17920
551814,18065
550352,16719
554312,
558644,14156
579013,18229
566204,14628
536750,17850
548401,14479
539272,15759
569573,17511
573985,
559511,15920
567511,13094
561646,16029
564353,15764
569571,16684
553873,14859
571298,15769
C564212,13209
573495,
564559,15811
542547,
566575,17133
554837,14584
566914,15466
562263,17514
546498,15493
554351,15132
538049,12748
544301,14606
559656,13675
562341,15005
C539055,13829
575624,18217
542849,
557472,12432
575211,17377
557025,
561936,14403
554272,12901
578093,14911
544078,16073
C563224,12409
572210,13755
553678,14009
575970,16416
565397,14171
547080,15445
574958,14050
542584,18016
564057,15296
562092,16133
544271,17083
564503,13971
577772,18139
565586,16172
543242,15090
565447,14107
561004,15189
539642,15867
560366,16859
543482,17881
578271,13899
549305,15189
552892,
575595,15452
578340,
580120,12553
544178,14543
567157,12748
560641,15587
573185,17730
555705,14713
580984,16711
559313,16325
575698,16094
555824,
572219,17463
549134,
577337,15494
576693,13199
575894,12748
580727,14096
568316,16407
574533,12928
547494,18191
545183,15570
559806,13311
538169,13230
545163,16607
573020,14842
573111,17677
565844,17442
540242,15046
571672,13880
C571814,14477
C556966,13523
C550355,13811
578703,17385
C573037,12471
562548,
C570845,17017
554372,13842
550357,16617
579109,16705
578509,12705
546243,15308
552811,17677
549035,
551574,
C554333,13310
C566942,17139
570857,15555
546538,16327
566261,13372
C574500,15598
565796,14916
555203,17191
577218,13117
C555409,13854
543833,12476
537028,
545002,13001
556038,13184
563205,14040
555838,
549693,14696
579286,17772
558452,15208
549268,
541012,17019
567981,
537201,12472
547384,12613
569824,17295
541785,14779
549489,
543015,14188
563509,16092
C543755,14304
537163,17863
544643,13038
C556281,14040
566068,
574559,14056
569575,16106
563698,14667
568368,17997
C555362,15785
C545678,16678
577182,16945
573154,
551982,15023
557600,
580280,16133
574067,14088
562440,12931
545688,16033
554546,
575898,16368
C554203,14573
536618,17017
557754,12432
581477,13426
549101,14606
559044,17306
550194,15270
554031,16497
561512,14534
536605,13715
552825,15296
545599,
564717,15669
576275,17044
549943,13544
C557665,13384
551586,
570685,13208
554987,14823
547273,14530
544903,18065
541980,12421
549459,
564225,17268
C546170,15034
575418,16986
C557637,13630
564841,
560210,14958
541406,14657
578078,12586
539379,15780
563732,15125
537621,
537372,16919
548631,13184
555555,16963
578056,16164
551520,13301
564085,14911
538096,
549321,14243
567578,12701
561010,18262
545872,15752
C572102,13519
557804,18198
551453,
C547168,13593
556434,14895
560736,15260
C575653,13988
581183,12569
541788,13999
557889,12412
559881,16899
552714,17164
569719,14646
549996,15189
539074,
550778,14868
561912,13184
548623,13841
C539575,13089
577165,13171
544906,17017
560245,
577602,16139
550321,16770
550944,17109
564972,12621
579755,
547503,13132
574058,14646
556542,14719
538566,
553896,13887
571113,
552319,13003
557070,14755
553546,12415
556878,15574
562600,12676
541858,16983
546166,16553
581402,14653
560118,16818
575974,
562258,16348
C559568,13627
573066,16026
562908,16839
538993,15512
551669,
C546880,13093
546764,15671
C556880,18073
579947,15993
552058,15218
577600,14447
564848,16928
542780,17675
580681,13083
542733,15058
571036,17567
575212,14108
563346,14282
543357,12388
553219,13769
565088,16145
C579970,14388
C552237,14056
C566742,17422
C538123,12605
577315,17811
563017,13198
572668,18045
561003,13079
575681,16903
580760,12877
553889,13405
573442,12488
558747,15465
563706,14189
C578363,15482
546326,13798
561701,13102
548639,
557233,15356
C573092,13791
542567,
579453,12748
C538704,14206
C574865,12408
C571634,16029
C546903,16217
576510,14533
C546783,12924
573308,
581396,15189
547792,17979
556113,13510
542712,14744
561204,12836
572294,13471
552656,12712
554940,12494
572697,
567809,13804
544896,17867
541112,18085
536569,16274
C564362,13148
547365,12775
563244,
580051,12963
555201,16969
569357,15930
550332,13474
554681,
565429,16434
C551512,14032
541969,
564542,16458
567906,14113
C543835,12963
567064,
555017,16801
560284,13705
560777,
552964,16057
537399,13030
557350,16670
563376,15752
549099,16241
570332,18169
570467,12607
568788,17894
568406,
554109,12682
544465,13168
558340,
539085,12748
C561104,12576
549332,
580888,14110
561952,12949
566476,
580998,16987
563237,14321
559494,
567654,16627
537335,15048
554505,17521
536798,17838
543126,13581
580939,14907
555240,15039
580070,12919
569389,15502
576590,16240
537434,
563502,12722
C560526,16401
577121,12681
542375,12626
564374,16589
C570099,13798
569831,
562907,14116
554039,15095
580304,18055
575732,12712
566819,17214
562777,15247
567178,17858
566447,12989
548942,15938
569718,15837
564564,13003
538524,
C559461,14680
565430,14335
538093,12682
552034,17578
555942,15743
567959,12516
547375,13196
541015,16315
540809,18095
557490,13199
574290,17403
577169,14641
572652,15805
551653,13282
C569109,16523
542806,12836
558872,17464
569997,12394
578336,
542219,17735
581376,14719
536777,15732
563075,13645
542888,15687
550836,14759
C567136,
547083,15452
571030,12876
551430,
566929,17428
C555006,13694
C539600,13329
571751,12744
548168,
573415,13607
576426,
579148,17523
C564655,13159
C555532,15722
563808,12626
555003,12787
575323,15392
C552705,15620
C546209,15596
541809,
C566036,17811
577826,17600
C559908,14088
C544580,
569706,13798
568221,14911
564630,13644
537764,16893
568061,16910
574093,12437
557250,12748
574588,14936
564762,
C553027,13741
546464,13225
553496,14410
C577737,15681
546237,16625
544996,12474
559899,12528
C550648,13134
572033,14447
553684,16389
541855,13742
573093,18283
573879,15039
567334,14911
573669,
C539661,12971
C560558,12921
552631,12684
537624,12748
551686,13668
C536622,12471
C581148,12462
549529,
554061,18008
581020,17511
546013,16495
573888,17696
557319,15076
571409,14911
549327,
564161,14523
539415,15204
544894,15805
541264,17064
C580711,16057
C549438,12471
564722,16456
540684,
556105,13466
537194,17402
547819,12748
561593,16003
558904,
565479,13999
581234,
573117,16688
540348,12841
577697,15804
574895,16570
538000,12748
576585,
573146,16422
570281,17949
558484,14267
579297,
536376,15291
566772,13107
546878,13631
567486,17340
553936,15078
556233,
542110,14189
C577070,12704
580729,
552683,
549834,16672
C541433,12346
C571320,13089
C543244,16725
553937,14056
558456,17063
577023,16186
574842,13890
560536,16626
C546238,13767
569416,13801
552198,15552
573593,
C565671,14796
576933,15529
574735,13155
549320,16010
569736,14317
550281,12457
566537,13767
544649,
553753,12971
554070,13555
C553665,14527
539321,14723
564197,13425
544913,15543
575911,17314
562035,12627
564219,16422
540000,
574049,13316
556064,13777
C562648,14606
567892,15394
563981,14948
540638,
558105,15644
543398,16458
556438,
573350,17725
576121,14530
537298,13497
548224,
C562188,12748
580691,13790
564268,16968
C558559,17648
537460,17616
539463,18077
558538,15005
573880,
557870,14404
552447,16729
563170,18237
580677,16200
572733,18079
549944,14262
579124,15721
557942,13725
548638,
560754,17754
561193,13296
547219,
572517,15068
564145,14329
542103,13198
545655,14670
C543750,18250
551553,
C579780,14217
556777,14426
568409,15701
566486,16098
544796,16208
574070,16748
554906,14194
563208,14040
573905,16971
554815,13798
C577692,14426
575965,13426
570871,
C567198,14159
565092,14092
C569958,13266
549256,15754
580137,17566
559035,13695
556186,14241
551286,13767
575766,12856
540542,15107
564346,15727
C547711,13534
566518,17779
552572,14680
550710,17450
C539409,12720
579126,13798
545323,12352
572834,12748
C555271,14338
572770,12371
538535,17790
C543551,16716
560125,18118
570270,15304
569486,15339
546329,14911
561719,17519
548207,
C581384,17673
564304,14527
C542753,15881
554824,15785
543053,17362
549524,
547835,15465
545585,12541
566063,16011
556074,
574921,16070
574040,14974
537453,
C546893,14156
C537132,15221
552011,13867
555474,
557765,16247
577845,18139
563192,16745
560103,17837
568543,
544210,14911
559332,14021
537743,17706
565427,17774
551519,14304
558454,17063
569374,
573177,
542143,15061
545894,16242
575318,14921
C548738,14711
565325,16086
566634,13183
545918,16917
C558361,15128
564957,15260
544797,13489
560725,16186
551825,16942
556513,
553720,13417
555410,16239
577606,12462
562279,
538009,14911
C560243,14659
537595,13569
547486,13576
547844,15045
563734,14064
556506,17381
568882,12839
550184,17601
572683,15158
539837,14532
C569112,17405
550504,16654
568207,15150
566424,13309
539723,14737
540098,16241
544807,12823
549990,16678
572751,17449
C549184,12428
C558463,13982
562611,17716
559912,14221
569919,15300
C556644,17115
559376,
561078,16178
548522,
C579778,14217
579122,12971
545577,14702
545827,
573485,15752
569215,13571
569818,
570002,12477
574511,15597
C569945,14141
C557895,15834
547986,18177
536593,16835
C543741,13021
538077,14667
552372,13394
554017,
575482,15916
557276,16931
546430,15918
574257,
542835,13939
C549580,13501
575727,18135
552560,17581
547339,
564053,14188
570409,12682
569528,16242
568387,13704
C558745,14415
564133,14364
577690,12856
556112,13265
580374,17584
574328,13081
C549041,17644
572075,16846
540013,16255
574025,12748
538719,15602
548985,16422
571102,16570
570233,16685
575513,
558260,16945
558458,14527
566489,16814
549969,13408
C542259,16656
555002,17682
571502,14422
550203,
559800,
562928,15494
569060,13954
537090,15332
537689,15750
C542644,15497
562466,13435
555822,
538627,
577317,16426
575919,15311
C566986,12476
537224,13174
543610,16425
574714,15427
553198,13752
540821,
541695,
578358,15482
550054,14040
566927,17846
552952,13837
540819,15518
579280,13928
578060,17857
552539,
C572864,12856
546912,15861
540604,15326
C542095,17730
560421,
566394,13650
552289,17869
548339,
C539073,12971
570591,17071
545213,16518
559813,18272
573418,15360
560737,
580967,14216
553726,16681
C570867,12607
C564905,17450
C561510,14534
565784,15089
558318,
580169,17949
C543050,12625
546141,
562540,17400
549176,
574311,15640
566786,13518
563199,16326
576339,14096
578075,15039
561479,
577020,17147
566712,
569373,12971
542605,17796
580050,14960
560200,13184
C580751,12921
561904,17941
577064,16656
571747,13849
541606,14784
580822,17884
546651,
569232,16667
575704,
571295,14741
574038,18164
C542271,12637
C572532,12380
580127,14911
543358,
536635,15955
538060,
578400,12748
C552015,16722
565381,16173
559137,17861
C578164,14032
566218,13079
C579431,17584
537672,13050
557881,14401
558761,15033
C555341,13004
574278,15814
C543052,14180
C550127,15212
559524,16866
563822,16184
C560046,17049
573672,
C546125,16316
548006,18226
546775,17306
542568,14215
544942,15544
580105,17675
552779,13013
547085,12600
542898,16110
537465,17735
575141,15615
563247,13089
577306,
581459,17949
572753,15856
549237,13950
565675,15513
561523,
C571927,13109
575850,17512
538184,17880
568417,14911
576237,12971
554318,
C574057,14102
571107,13858
546116,15367
556679,
570791,17346
548707,13781
548975,17596
C538088,14766
568407,
539185,16470
566016,15144
571462,16363
561093,12540
538421,17917
C547594,12693
554125,13885
573986,
543294,17849
C562048,13534
572028,15296
542004,12971
559418,12681
568396,16462
579466,15189
547861,16701
547034,18229
557861,13437
C557779,13004
569527,12512
580671,15159
546129,
C581393,16892
559146,12921
572030,14923
544698,17949
574280,13408
549829,16713
563720,15867
548910,17940
576762,
554670,18044
547042,
548261,
541797,12970
C555366,12590
558419,17702
C552190,12748
568591,17088
C569032,15061
545346,12834
C553510,14342
541421,
577119,
574575,14971
544469,
548681,
555527,14364
555232,14597
569143,15867
564744,13778
568376,14031
554770,14911
566064,
557491,
C540643,12471
575716,
550658,13576
545000,15281
579787,
551019,
540688,12736
560607,12510
537865,16011
538167,14713
C544669,18055
543198,16109
577052,17397
555798,16422
544940,16592
555285,14298
552050,
C560560,17738
577108,15983
565423,12569
554096,14921
548563,18118
556054,14561
548992,13089
547203,17146
561679,15245
C547988,13477
562713,15189
568546,
570858,
581252,14129
549665,14541
562272,12971
540173,15661
568657,16460
578691,
552196,18078
542130,13468
562392,15205
558328,15146
539040,17214
C563604,15251
569858,12939
542239,17786
573008,12901
C547236,14180
572227,15051
566080,15187
554319,
571726,16191
C579092,16900
557474,12432
564652,14646
538858,16553
545995,15023
563165,14646
C550751,15465
566434,17090
554998,15925
565791,16029
563650,
C572455,
548644,15291
554147,12423
561115,17675
568661,18109
548669,15691
542408,13280
580632,16360
561493,
560871,14745
580214,14092
545475,12415
554959,
573135,12952
569024,12822
578319,15393
561326,
546412,12748
539324,14985
571231,15856
575038,18135
581493,12423
C539448,15157
575729,17932
562920,14495
555537,15453
544100,15002
578547,12720
557748,14527
C541234,13862
553382,14217
546247,18086
572871,13408
558027,14032
557489,12490
C560208,13013
550464,16550
571043,17892
545157,14239
538148,
572453,12921
564190,16143
552826,14277
555924,
553403,18061
568670,14978
C555105,17841
574917,14135
573412,13870
552450,13798
577515,13427
C543992,12583
554980,17613
C556265,16684
558044,13870
538165,14031
558743,
548716,14023
566822,17677
C548375,14256
571282,15545
C561793,14414
561258,15513
573382,17655
C554847,12909
581421,15898
549543,18118
581485,17389
550922,
571067,16793
571906,14297
543547,17358
544306,13085
573865,15311
556517,12481
580065,15434
556723,18102
561465,16447
565649,16712
576865,12748
567932,
C549685,13266
560978,15815
548715,17758
574102,16128
577950,14129
575165,14342
C562956,13186
C549290,14395
568423,17061
C566820,17214
571723,
539306,17659
C575044,14948
574914,17109
562449,14562
545815,14012
548220,
542406,17757
563578,12949
579408,14701
C546496,17646
543397,17859
545697,14504
553423,17811
564090,17041
536667,15260
566713,15933
549251,14449
552832,
562926,17512
555577,15301
566451,18069
557005,13700
552032,14393
560853,15311
571845,16869
C570066,16523
C569938,14211
542382,14738
571565,12720
544074,14156
550627,16633
546321,16475
567132,
554337,17920
577972,
560724,16186
557893,15228
560114,
C567716,14543
566234,15035
560233,16813
563089,15469
C543768,14497
576859,18167
564871,17949
C543819,16928
560185,14676
543177,14466
572284,16744
575884,12685
576369,
C542273,12578
C556647,13012
C538695,14032
548366,
538147,13090
574943,13026
568394,13314
C545307,17027
579291,
545227,12428
571458,
556483,14823
551991,14697
538880,
550955,14189
566122,
567323,17557
579062,17651
564083,17469
C580767,14655
538594,16927
557963,13709
547387,12539
577061,14911
561371,
579254,14511
555640,14475
565936,15653
574726,14664
537751,17706
539317,17392
C544413,14760
537138,17211
546986,14194
574535,16555
574722,14502
562710,14298
C539067,15194
573578,16018
561898,12456
538409,17236
574953,16187
567863,
540482,14672
C543388,14646
C538536,15881
558375,13418
579445,15206
560360,12744
544944,14541
556247,15058
552571,14688
C565390,13408
C562845,14903
C548356,12472
C544427,17612
570725,12381
568203,13435
573670,
556098,16832
574738,12748
541984,13117
545522,15596
568013,17480
562913,17042
555740,18226
549523,12748
570213,16248
567506,13038
558041,12422
561521,17870
C555046,12431
537707,14032
542989,15226
538203,13767
573282,18030
573076,13488
570223,15787
565492,13881
558028,15128
546368,
552872,16985
C576243,15953
550776,15805
557476,18223
573179,13199
C547198,14606
C546548,16518
551739,18118
545419,15104
575208,18172
C562969,12610
571128,
544592,16775
C545457,17428
540990,17048
571926,16722
539752,12515
541219,
C562617,
579735,
C543792,13725
C575172,16790
542927,18198
543734,17512
563905,13267
567638,17865
551176,
578068,14505
562652,14844
572923,15948
C547857,13050
564089,15971
C571699,15106
556439,18061
561672,12830
578283,13139
558159,16904
563912,17675
553095,16180
568062,14014
538268,18065
564093,14930
547817,17946
578021,12748
569519,13792
C546989,
548870,14606
557526,14397
566985,
568040,12681
537214,16422
C539577,17924
560821,17848
558520,
544790,16940
541003,15835
536600,17850
541127,
580644,16904
560721,17677
552227,
C564208,15469
575972,14499
564045,16013
C568557,12681
537567,18119
560438,
555628,15260
545025,
577103,15081
558377,
548311,13728
537012,
549695,
557898,17314
541422,
576560,12877
558441,14606
547518,13694
553708,16843
569715,15856
540478,15769
547550,16839
540858,16359
550200,16523
551438,13408
543740,15311
557135,17306
577410,14664
549841,15189
546669,14226
564850,17298
542713,12668
559733,16145
580213,17495
548655,15605
577104,12747
547865,
550320,12748
578129,13502
574877,16637
572319,14704
551673,
576691,14507
563432,16713
553142,14527
571701,14639
C542086,18277
547018,17043
562729,12569
543098,13102
572931,17613
563544,17937
580661,17218
548491,14064
537202,14506
552006,
C574584,15482
552648,17581
C560860,13668
574698,14039
539638,
C569973,12703
560986,
544573,12621
554666,13599
566949,
559930,17738
543548,13706
541971,
561909,15625
560730,
546114,
558776,18102
580980,17730
538626,17338
573490,
559702,16013
553750,15660
548640,17580
578053,14422
573744,17733
544089,
545668,14031
573287,14194
560921,16224
552179,16919
562162,12841
580293,16426
572718,15656
570272,14297
553211,15358
573001,12841
540122,13694
570497,
571720,
561321,13668
C558444,15311
572539,
566300,18215
575186,17611
574629,16326
580390,
547812,18102
580317,13458
C564751,17828
569237,
563035,17790
567483,16584
561206,13110
C539057,18230
C538833,14680
554637,14688
579789,14385
569823,16895
578680,16458
568873,14188
546124,
548156,14871
553941,14334
536532,12433
554814,16609
C564320,16536
573262,16851
C542639,16570
547370,14711
538710,18075
C580161,12700
567785,18102
562046,12378
559550,17757
564743,14606
580005,16376
555582,14312
553913,18109
578291,16500
545057,13630
566633,17193
569382,15502
574063,13271
571721,
568988,12718
538003,12429
C543766,13319
557743,18155
538523,13198
563288,12656
556746,17644
575724,14608
574087,15651
571241,14592
